Simulation,Trial
1.0,3.0
2.0,2.0
4.0,4.0
5.0,4.0
7.0,3.0
8.0,2.0
9.0,3.0
10.0,4.0
11.0,4.0
12.0,2.0
13.0,2.0
14.0,4.0
15.0,4.0
16.0,4.0
17.0,3.0
18.0,4.0
19.0,3.0
21.0,3.0
22.0,3.0
23.0,2.0
24.0,3.0
25.0,3.0
27.0,4.0
28.0,2.0
29.0,3.0
30.0,2.0
31.0,4.0
33.0,2.0
34.0,4.0
36.0,3.0
37.0,3.0
39.0,2.0
40.0,3.0
41.0,3.0
42.0,2.0
43.0,2.0
44.0,3.0
45.0,2.0
46.0,3.0
47.0,3.0
48.0,3.0
49.0,3.0
50.0,3.0
51.0,3.0
52.0,4.0
54.0,2.0
55.0,2.0
56.0,3.0
57.0,2.0
58.0,2.0
59.0,2.0
60.0,2.0
61.0,3.0
63.0,3.0
64.0,3.0
66.0,2.0
67.0,3.0
68.0,4.0
71.0,3.0
72.0,3.0
73.0,2.0
75.0,2.0
77.0,4.0
78.0,3.0
80.0,4.0
83.0,3.0
84.0,4.0
85.0,2.0
87.0,4.0
88.0,2.0
89.0,2.0
90.0,3.0
91.0,3.0
92.0,2.0
94.0,2.0
95.0,3.0
96.0,3.0
97.0,2.0
98.0,3.0
99.0,3.0
100.0,4.0
