Simulation,Trial
1.0,3.0
2.0,4.0
3.0,5.0
4.0,2.0
5.0,4.0
6.0,3.0
7.0,3.0
8.0,5.0
9.0,3.0
10.0,3.0
11.0,4.0
12.0,2.0
13.0,2.0
14.0,5.0
15.0,2.0
16.0,3.0
17.0,2.0
18.0,3.0
19.0,2.0
20.0,2.0
21.0,8.0
22.0,2.0
23.0,8.0
24.0,2.0
25.0,4.0
26.0,4.0
27.0,3.0
28.0,3.0
29.0,2.0
30.0,4.0
31.0,2.0
32.0,5.0
33.0,2.0
34.0,3.0
35.0,2.0
36.0,5.0
37.0,3.0
38.0,4.0
39.0,4.0
40.0,4.0
41.0,7.0
42.0,3.0
43.0,4.0
44.0,3.0
45.0,3.0
46.0,6.0
47.0,5.0
48.0,4.0
49.0,5.0
50.0,4.0
51.0,5.0
52.0,4.0
53.0,4.0
54.0,5.0
55.0,3.0
56.0,3.0
57.0,6.0
58.0,3.0
59.0,2.0
60.0,2.0
61.0,2.0
62.0,4.0
63.0,2.0
64.0,4.0
65.0,5.0
66.0,5.0
67.0,3.0
68.0,2.0
69.0,5.0
70.0,5.0
71.0,6.0
72.0,2.0
73.0,8.0
74.0,4.0
75.0,4.0
76.0,4.0
77.0,2.0
78.0,3.0
79.0,3.0
80.0,2.0
81.0,4.0
82.0,4.0
83.0,5.0
84.0,6.0
85.0,4.0
86.0,8.0
87.0,3.0
88.0,2.0
89.0,2.0
90.0,2.0
91.0,3.0
92.0,5.0
93.0,3.0
94.0,5.0
95.0,2.0
96.0,3.0
97.0,4.0
98.0,3.0
99.0,2.0
100.0,6.0
