Simulation,Trial
1.0,3.0
2.0,3.0
3.0,2.0
4.0,4.0
5.0,7.0
6.0,6.0
7.0,4.0
8.0,2.0
9.0,4.0
10.0,2.0
11.0,5.0
12.0,3.0
13.0,3.0
14.0,3.0
15.0,2.0
16.0,4.0
17.0,4.0
18.0,4.0
19.0,5.0
20.0,3.0
21.0,2.0
22.0,5.0
23.0,5.0
24.0,4.0
25.0,4.0
26.0,6.0
27.0,2.0
28.0,2.0
29.0,5.0
30.0,3.0
31.0,4.0
32.0,4.0
33.0,3.0
34.0,8.0
35.0,3.0
36.0,2.0
37.0,3.0
38.0,5.0
39.0,3.0
40.0,4.0
41.0,4.0
42.0,4.0
43.0,2.0
44.0,3.0
45.0,3.0
46.0,4.0
47.0,4.0
48.0,2.0
49.0,5.0
50.0,3.0
51.0,4.0
52.0,2.0
53.0,4.0
54.0,3.0
55.0,3.0
56.0,6.0
57.0,3.0
58.0,2.0
59.0,4.0
60.0,3.0
61.0,3.0
62.0,3.0
63.0,4.0
64.0,2.0
65.0,2.0
66.0,2.0
67.0,4.0
68.0,3.0
69.0,2.0
70.0,2.0
71.0,2.0
72.0,3.0
73.0,2.0
74.0,4.0
75.0,5.0
76.0,4.0
77.0,3.0
78.0,8.0
79.0,7.0
80.0,3.0
81.0,4.0
82.0,2.0
83.0,2.0
84.0,3.0
85.0,7.0
86.0,5.0
87.0,2.0
88.0,3.0
89.0,6.0
90.0,4.0
91.0,5.0
92.0,4.0
93.0,3.0
94.0,3.0
95.0,3.0
96.0,2.0
97.0,2.0
98.0,2.0
99.0,8.0
100.0,3.0
