Simulation,Trial
1.0,4.0
2.0,5.0
3.0,7.0
4.0,4.0
5.0,2.0
6.0,2.0
7.0,4.0
8.0,6.0
9.0,6.0
10.0,2.0
11.0,5.0
12.0,3.0
13.0,4.0
14.0,4.0
15.0,2.0
16.0,4.0
17.0,6.0
18.0,6.0
19.0,4.0
20.0,3.0
21.0,7.0
22.0,4.0
23.0,7.0
24.0,6.0
25.0,2.0
26.0,3.0
27.0,2.0
28.0,2.0
29.0,5.0
30.0,4.0
31.0,7.0
32.0,4.0
33.0,4.0
34.0,2.0
35.0,4.0
36.0,5.0
37.0,7.0
38.0,2.0
39.0,6.0
40.0,4.0
41.0,6.0
42.0,4.0
43.0,2.0
44.0,2.0
45.0,6.0
46.0,8.0
47.0,5.0
48.0,8.0
49.0,4.0
50.0,2.0
51.0,5.0
52.0,4.0
53.0,7.0
54.0,4.0
55.0,4.0
56.0,7.0
57.0,4.0
58.0,2.0
59.0,4.0
60.0,3.0
61.0,3.0
62.0,5.0
63.0,4.0
64.0,5.0
65.0,5.0
66.0,7.0
67.0,4.0
68.0,4.0
69.0,4.0
70.0,2.0
71.0,2.0
72.0,4.0
73.0,4.0
74.0,5.0
75.0,4.0
76.0,3.0
77.0,2.0
78.0,3.0
79.0,4.0
80.0,7.0
81.0,6.0
82.0,5.0
83.0,4.0
84.0,3.0
85.0,5.0
86.0,2.0
87.0,2.0
88.0,4.0
89.0,2.0
90.0,3.0
91.0,4.0
92.0,4.0
93.0,4.0
94.0,3.0
95.0,7.0
96.0,6.0
97.0,2.0
98.0,4.0
99.0,4.0
100.0,4.0
